Spieltag,Heim,Auswärts,Ergebnis,Hinspiel
15,SC Borsigwalde 1910,TSV Rudow Berlin,0:0,0:0
15,BFC Preussen II,BSV Al-Dersimspor,1:1,1:1
15,SV Stern Britz 1889,FC Viktoria 1889 Berlin II,2:3,2:3
15,BFC Meteor 06,FC Internationale Berlin 1980,3:1,3:1
15,Köpenicker FC,Berliner SC II,2:0,2:0
15,BSV Eintracht Mahlsdorf II,Türkiyemspor Berlin,1:2,1:2
15,FSV Berolina Stralau 1901,Berliner SV 1892,3:3,3:3
15,VfB Concordia Britz 1916,SV Empor Berlin II,1:0,1:0
14,BSV Eintracht Mahlsdorf II,TSV Rudow Berlin,0:0,0:0
14,SV Stern Britz 1889,SC Borsigwalde 1910,1:2,1:2
14,FC Viktoria 1889 Berlin II,SV Empor Berlin II,1:1,1:1
14,Berliner SC II,FSV Berolina Stralau 1901,1:0,1:0
14,Berliner SV 1892,BFC Meteor 06,1:2,1:2
14,FC Internationale Berlin 1980,VfB Concordia Britz 1916,7:1,7:1
14,Türkiyemspor Berlin,BFC Preussen II,2:6,2:6
14,BSV Al-Dersimspor,Köpenicker FC,1:5,1:5
13,BSV Eintracht Mahlsdorf II,FC Internationale Berlin 1980,2:1,2:1
13,BFC Preussen II,SV Empor Berlin II,3:2,3:2
13,SV Stern Britz 1889,Berliner SC II,0:3,0:3
13,Köpenicker FC,VfB Concordia Britz 1916,10:1,10:1
13,Türkiyemspor Berlin,FC Viktoria 1889 Berlin II,2:1,2:1
13,FSV Berolina Stralau 1901,BFC Meteor 06,2:4,2:4
13,SC Borsigwalde 1910,Berliner SV 1892,1:3,1:3
13,TSV Rudow Berlin,BSV Al-Dersimspor,2:0,2:0
12,BFC Meteor 06,Köpenicker FC,3:0,3:0
12,SV Empor Berlin II,BSV Eintracht Mahlsdorf II,1:8,1:8
12,FC Viktoria 1889 Berlin II,FSV Berolina Stralau 1901,3:6,3:6
12,Berliner SC II,TSV Rudow Berlin,1:2,1:2
12,Berliner SV 1892,SV Stern Britz 1889,1:0,1:0
12,FC Internationale Berlin 1980,SC Borsigwalde 1910,1:1,1:1
12,VfB Concordia Britz 1916,BFC Preussen II,1:2,1:2
12,BSV Al-Dersimspor,Türkiyemspor Berlin,0:2,0:2
11,FC Internationale Berlin 1980,TSV Rudow Berlin,1:1,1:1
11,BFC Meteor 06,BSV Eintracht Mahlsdorf II,1:0,1:0
11,Köpenicker FC,FC Viktoria 1889 Berlin II,3:3,3:3
11,SV Empor Berlin II,SV Stern Britz 1889,2:2,2:2
11,Berliner SC II,BSV Al-Dersimspor,2:0,2:0
11,Berliner SV 1892,Türkiyemspor Berlin,2:0,2:0
11,FSV Berolina Stralau 1901,BFC Preussen II,0:3,0:3
11,VfB Concordia Britz 1916,SC Borsigwalde 1910,3:4,3:4
